pollutant,block,cv_rmse,test_rmse,overfitting_gap,overfitting_ratio,best_params,duration_s,n_features,train_size,test_size,fits_performed
PM10,block_5,5.8471438162987805,5.297152305220132,-0.5499915110786482,0.9059384327873792,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.9591402870670727), 'learning_rate': np.float64(0.07518924601127641), 'max_depth': 30, 'min_child_samples': 8, 'min_split_gain': np.float64(0.4704139816006997), 'n_estimators': 114, 'num_leaves': 31, 'reg_alpha': np.float64(0.12982317067825866), 'reg_lambda': np.float64(1.7408497136461323), 'subsample': np.float64(0.8805521178533384)}",330,21,2871,718,1000
PM10,block_6,5.851641771554887,5.318111048477338,-0.5335307230775497,0.9088237551261138,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7702245561046188), 'learning_rate': np.float64(0.1273272725247108), 'max_depth': 30, 'min_child_samples': 6, 'min_split_gain': np.float64(0.41763580124498295), 'n_estimators': 131, 'num_leaves': 13, 'reg_alpha': np.float64(0.7901937377799464), 'reg_lambda': np.float64(0.6001620918507129), 'subsample': np.float64(0.6320414575224197)}",300,18,2871,718,1000
PM10,block_7,5.726135682125575,5.124649264802595,-0.6014864173229801,0.894957707830684,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7310277776449301), 'learning_rate': np.float64(0.020123401460131342), 'max_depth': 39, 'min_child_samples': 10, 'min_split_gain': np.float64(0.2299783655371292), 'n_estimators': 484, 'num_leaves': 41, 'reg_alpha': np.float64(0.5077772418854793), 'reg_lambda': np.float64(1.1827743645350337), 'subsample': np.float64(0.7715180641395191)}",466,30,2871,718,1000
PM10,block_8,5.733692479942869,5.142714456705983,-0.590978023236886,0.8969288943723095,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7310277776449301), 'learning_rate': np.float64(0.020123401460131342), 'max_depth': 39, 'min_child_samples': 10, 'min_split_gain': np.float64(0.2299783655371292), 'n_estimators': 484, 'num_leaves': 41, 'reg_alpha': np.float64(0.5077772418854793), 'reg_lambda': np.float64(1.1827743645350337), 'subsample': np.float64(0.7715180641395191)}",440,27,2871,718,1000
PM25,block_1,2.934857240234469,2.82346619158691,-0.11139104864755867,0.9620454967551814,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8466740268620945), 'learning_rate': np.float64(0.04504992088588751), 'max_depth': 15, 'min_child_samples': 3, 'min_split_gain': np.float64(0.3951867613089866), 'n_estimators': 452, 'num_leaves': 63, 'reg_alpha': np.float64(0.4004179927975866), 'reg_lambda': np.float64(1.3608801296950894), 'subsample': np.float64(0.6624867339555541)}",121,9,1642,411,1000
PM25,block_2,2.9445764690585814,2.932416837174612,-0.01215963188396918,0.99587049886062,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7908990570276704), 'learning_rate': np.float64(0.07747472801301386), 'max_depth': 5, 'min_child_samples': 4, 'min_split_gain': np.float64(0.19503668780701505), 'n_estimators': 488, 'num_leaves': 30, 'reg_alpha': np.float64(0.5114164563525312), 'reg_lambda': np.float64(0.8651046594751162), 'subsample': np.float64(0.7176610182017925)}",134,12,1642,411,1000
PM25,block_3,2.860837867541476,2.7825704248761047,-0.07826744266537133,0.9726417761896335,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7425640353988904), 'learning_rate': np.float64(0.032673405902198555), 'max_depth': 24, 'min_child_samples': 11, 'min_split_gain': np.float64(0.20679320750058067), 'n_estimators': 517, 'num_leaves': 57, 'reg_alpha': np.float64(0.3702607965380613), 'reg_lambda': np.float64(1.4037530595126209), 'subsample': np.float64(0.6961422499396556)}",204,21,1642,411,1000
PM25,block_4,2.832016459143253,2.749591743177496,-0.08242471596575696,0.970895396564647,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8696687589733387), 'learning_rate': np.float64(0.044262661165206135), 'max_depth': 45, 'min_child_samples': 6, 'min_split_gain': np.float64(0.25552289204125944), 'n_estimators': 287, 'num_leaves': 56, 'reg_alpha': np.float64(0.005118348544939089), 'reg_lambda': np.float64(0.12967838907783036), 'subsample': np.float64(0.9386050313563714)}",189,18,1642,411,1000
PM25,block_5,2.9664570249011124,2.840861895347911,-0.12559512955320162,0.9576615711945504,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.8466740268620945), 'learning_rate': np.float64(0.04504992088588751), 'max_depth': 15, 'min_child_samples': 3, 'min_split_gain': np.float64(0.3951867613089866), 'n_estimators': 452, 'num_leaves': 63, 'reg_alpha': np.float64(0.4004179927975866), 'reg_lambda': np.float64(1.3608801296950894), 'subsample': np.float64(0.6624867339555541)}",206,21,1642,411,1000
PM25,block_6,2.9685412121564574,2.863485336588713,-0.1050558755677442,0.9646102687954843,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.9690017989041574), 'learning_rate': np.float64(0.03342243466611921), 'max_depth': 16, 'min_child_samples': 3, 'min_split_gain': np.float64(0.17931740809466007), 'n_estimators': 228, 'num_leaves': 36, 'reg_alpha': np.float64(1.9568482363211928), 'reg_lambda': np.float64(0.9379318571738624), 'subsample': np.float64(0.6533621939533202)}",190,18,1642,411,1000
PM25,block_7,2.8911330188477904,2.8287115823586837,-0.062421436489106696,0.9784093515994696,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.7293916787956302), 'learning_rate': np.float64(0.10111628402718303), 'max_depth': 18, 'min_child_samples': 5, 'min_split_gain': np.float64(0.036734726010191954), 'n_estimators': 367, 'num_leaves': 45, 'reg_alpha': np.float64(1.280009352835624), 'reg_lambda': np.float64(1.4353027403163245), 'subsample': np.float64(0.7536681561667099)}",275,30,1642,411,1000
PM25,block_8,2.877924248874838,2.763774101109385,-0.11415014776545318,0.9603359442799505,"{'boosting_type': 'gbdt', 'colsample_bytree': np.float64(0.6274016295247835), 'learning_rate': np.float64(0.0629721486324973), 'max_depth': 44, 'min_child_samples': 8, 'min_split_gain': np.float64(0.09796597324949607), 'n_estimators': 175, 'num_leaves': 54, 'reg_alpha': np.float64(1.739952360543215), 'reg_lambda': np.float64(0.17637729114302014), 'subsample': np.float64(0.8734841343286551)}",260,27,1642,411,1000
